Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL
,"1 Bracegirdle Drive, Mickleham",,,,,Inspection Sat 22 Mar 10:45 am,,Harminder Singh,https://www.realestate.com.au/property-house-vic-mickleham-146659424
"$560,000 - $590,000","11 Viola Street, Donnybrook",,,,,,,Omar Morsi,https://www.realestate.com.au/property-house-vic-donnybrook-147564468
"$620,000 - $680,000","3/70 Glenroy Road, Glenroy",,,,,Inspection Sat 22 Mar 10:45 am,,Ghizlaine Digby,https://www.realestate.com.au/property-house-vic-glenroy-147418192
"$599,000 - $649,000","46 Kensley Circuit, Craigieburn",,,,,Inspection Sat 22 Mar 10:30 am,,Vijay Kumar,https://www.realestate.com.au/property-house-vic-craigieburn-147417996
"$590,000 - $635,000","10/5 Korab Place, Roxburgh Park",,,,,,,Inas Sora,https://www.realestate.com.au/property-house-vic-roxburgh+park-145958156
,"20 Margaretta Circuit, Mickleham",,,,,Inspection Sat 22 Mar 3:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-mickleham-147273012
,"5 Pittsburgh Rd, Kalkallo",,,,,Inspection tomorrow 7:00 pm,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-141941588
"AUCTION THIS SATURDAY 12PM $515,000-$565,000","11 Kingsford Way, Roxburgh Park",,,,,Inspection tomorrow 6:00 pm,,Gianni D'Angelo,https://www.realestate.com.au/property-house-vic-roxburgh+park-147344792
"$650,000- $700,000","41 Eastside Boulevard, Donnybrook",,,,,,,Nitin Rana,https://www.realestate.com.au/property-house-vic-donnybrook-146519464
$590k - $640k - Auction Sat 12th April @ 3pm,"9 Bali Place, Lalor",,,,,Inspection Sat 22 Mar 2:45 pm,,Robert Stambolziev,https://www.realestate.com.au/property-house-vic-lalor-147561628
$590K - $640K - Auction Sat 12th April @ 1PM,"38 Roycroft Avenue, Mill Park",,,,,Inspection Sat 22 Mar 4:00 pm,,Daniel Nardella,https://www.realestate.com.au/property-house-vic-mill+park-147561624
$650K - $715K - Auction Sat 12th March @ 12pm,"1 Bowman Drive, Mill Park",,,,,Inspection Sat 22 Mar 2:00 pm,,Mary Argiris,https://www.realestate.com.au/property-house-vic-mill+park-147561616
"$560,000 - $590,000","22 Lasio Way, Donnybrook",,,,,,,Omar Morsi,https://www.realestate.com.au/property-house-vic-donnybrook-147415208
"$650,000 - $690,000","15 Guernsey Street, Donnybrook",,,,,Inspection tomorrow 5:45 pm,,Mohammed Mahfouz,https://www.realestate.com.au/property-house-vic-donnybrook-147205628
"$580,000 - $630,000","7 Patton Street, Doreen",,,,,Inspection Sat 22 Mar 12:00 pm,,John Pasceri,https://www.realestate.com.au/property-house-vic-doreen-147559712
"$630,000 - $660,000","3 Glenbrae Street, Craigieburn",,,,,Inspection tomorrow 6:00 pm,,Hitesh Arora,https://www.realestate.com.au/property-house-vic-craigieburn-147413972
