Address,Indicative Price,Bed,Bath,Car,Type
"5 Deau Avenue, Wollert","$600,000 - $630,000",5,3,2,House
"11 Scuffam Street, Mernda","EOI $640,000 - $704,000",3,2,2,House
"33 Woodman Circuit, Wollert",AUCTION Sat 5 Apr 2:45pm,4,2,3,House
"26 Winston Street, Lalor","Auction: $650,000 - $700,000",5,3,3,587m²
"15 Henry Court, Epping",AUCTION Sat 12 Apr 9:30am,3,2,4,540m²
"18 Brushwood Circuit, Roxburgh Park","$600,000 - $640,000",3,2,2,419m²
"46 Vestige Street, Donnybrook","AUCTION $630,000, - $680,000",4,2,2,350m²
"18 Bloomsbury Place, Wollert","AUCTION  $550,000 - $595,000",3,2,1,House
"50 Danzig Street, Kalkallo",AUCTION Sat 29 Mar 10:00am,4,2,4,562m²
"112 Redleap Avenue, Mill Park",$645K-$695K- Auct This Sat @ 10AM - Must be Sold!,4,2,2,625.8m²
"24 Hawkesbury Drive, Donnybrook","$490,000 - $520,000",3,2,2,House
"36 Brummel Street, Craigieburn","$650,000 - $680,000",4,2,2,House
"18 Goodia Street, Wollert",Contact Agent,4,2,2,312m²
"13 Vautier Place, South Morang","$610,000 - $630,000",3,2,2,House
"4 Selenium Street, Kalkallo",Brand New Quality House!!!,4,2,2,House
"29 Seggan Circle, Gowanbrae","Private Sale $589,000",3,2,2,House
"40 Dunkeld St, Meadow Heights","$499,000 - $548,000",3,2,2,551m²
"14 Fashoda Drive, Mernda","For Sale $550,000 - $600,000",4,2,1,300m²
"38 Northern Crescent, Craigieburn",AUCTION THIS SAT @ 10:30am,3,2,2,658m²
"24 Taggiasca Drive, Wollert","$599,000 - $659,000",4,2,2,House
"46 Merlin Street, Craigieburn","$490,000 - $530,000",3,2,1,House
"12 Nomad Road, Kalkallo",The Home You  Deserve at a Price You'll Love!,4,2,2,House
"15 McKillop Avenue, Epping","AUCTION $630,000 - $690,000",3,2,2,403m²
"20 Echelon Road, Doreen","$630,000 - $660,000",4,2,2,362m²
"19 Cream Road, Donnybrook","$615,000 - $640,000",4,2,2,House
"3 Almurta Avenue, Coolaroo","Auction - $550,000 - $600,000",4,2,2,House
"14 Cochrane Avenue, Mickleham","$500,000 - $550,000",3,2,2,263m²
"76 Pine Park Drive, Wollert","$645,000",3,2,1,House
"1/88 Moorhead Drive, Mill Park",Auction 12 April,3,2,2,324m²
"18 Edson Road, Mickleham","$495,000 - $540,000 -Auction Sat 5th April @ 10AM",3,2,2,262m²
"13 Fletcher Road, Craigieburn","$650,000 - $690,000",4,2,2,400m²
"14 Bracegirdle Drive, Mickleham",Taking offers Now!!,4,2,2,House
"16 Ballycarrane Street, Woodstock",Call Jiten 0405 650 000,4,2,2,305m²
"25 Albida Street, Donnybrook","$580,000 to $610,000",3,2,2,House
